Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
572,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
575,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
579,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
582,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
586,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
589,362,FALSE,0,8,2,1,0,0,0,0,0,0,
592,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
596,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
600,362,FALSE,0,8,2,1,0,0,0,0,0,0,
603,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
607,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
611,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
614,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
617,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
621,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
624,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
627,287,FALSE,0,8,27,10,27,10,27,10,0,0,
631,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
634,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
638,287,FALSE,0,8,27,10,27,10,27,10,0,0,
642,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
646,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
649,373,FALSE,0,8,C5,C5,7F,4F,C,BA,80,17,
653,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
656,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
660,362,FALSE,0,8,2,1,0,0,0,0,0,0,
663,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
666,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
669,362,FALSE,0,8,2,1,0,0,0,0,0,0,
672,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
676,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
679,362,FALSE,0,8,2,1,0,0,0,0,0,0,
683,207,FALSE,0,8,0,0,0,0,0,0,0,0,
686,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
690,362,FALSE,0,8,2,1,0,0,0,0,0,0,
693,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
696,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
699,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
702,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
706,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
710,362,FALSE,0,8,2,1,0,0,0,0,0,0,
713,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
716,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
719,362,FALSE,0,8,2,1,0,0,0,0,0,0,
722,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
727,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
730,362,FALSE,0,8,2,1,0,0,0,0,0,0,
733,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
737,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
740,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
744,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
747,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
751,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
754,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
758,287,FALSE,0,8,27,10,27,10,27,10,0,0,
761,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
765,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
769,188,FALSE,0,8,0,0,A2,4B,0,0,0,0,
772,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
776,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
779,373,FALSE,0,8,C5,C5,7F,51,C,BA,80,17,
783,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
786,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
790,362,FALSE,0,8,2,1,0,0,0,0,0,0,
793,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
796,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
799,362,FALSE,0,8,2,1,0,0,0,0,0,0,
802,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
806,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
811,362,FALSE,0,8,2,1,0,0,0,0,0,0,
814,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
817,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
820,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
824,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
827,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
830,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
834,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
838,287,FALSE,0,8,27,10,27,10,27,10,0,0,
841,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
845,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
848,287,FALSE,0,8,27,10,27,10,27,10,0,0,
852,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
856,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
