Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11478,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11481,373,FALSE,0,8,C5,C5,7F,3A,C,B9,80,16,
11485,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
11489,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11492,373,FALSE,0,8,C5,C5,7F,3A,C,B9,80,16,
11496,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
11499,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11503,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11507,185,FALSE,0,8,8,0,15,0,0,0,0,27,
11510,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
11513,377,FALSE,0,8,5,BB,1,6,41,3F,3D,22,
11517,665,FALSE,0,8,2,0,0,0,0,0,0,0,
11521,373,FALSE,0,8,C5,C5,7F,3C,C,B9,80,17,
11525,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11528,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11532,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
11535,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11538,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11541,373,FALSE,0,8,C5,C5,7F,3C,C,B9,80,17,
11545,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
11549,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
11552,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11556,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
11560,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11564,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
11568,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
11571,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11575,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
11578,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
11581,373,FALSE,0,8,C5,C5,7F,42,C,B9,80,17,
11585,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11589,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
11592,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11596,207,FALSE,0,8,0,0,0,0,0,0,0,0,
11599,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11603,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
11607,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
11611,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11615,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11618,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
11622,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11626,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
11629,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11633,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11637,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11640,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
11644,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
11648,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
11652,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11656,29A,FALSE,0,8,2,35,32,31,FF,FF,FF,FF,
11660,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11663,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11667,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
11671,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
11674,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11678,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
11681,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11685,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
11688,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
11693,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11697,207,FALSE,0,8,0,0,0,0,0,0,C,0,
11700,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11704,664,FALSE,0,8,2,83,6,32,F3,0,0,0,
11707,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
11711,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
11714,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11718,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
11721,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11725,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
11729,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11732,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11737,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11741,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
11744,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11748,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
11751,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11755,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11758,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11762,373,FALSE,0,8,C5,C5,7F,41,C,BA,80,17,
11765,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11769,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11773,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11777,375,FALSE,0,8,8,8,0,27,E8,0,0,0,
11781,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
11784,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
11788,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
11792,373,FALSE,0,8,C5,C5,7F,41,C,B9,80,17,
11795,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
11799,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11803,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11806,185,FALSE,0,8,8,0,15,0,0,0,0,27,
11810,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
11813,377,FALSE,0,8,5,BB,0,F7,41,3F,3D,22,
11817,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
11822,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11825,6FA,FALSE,0,8,2,35,32,31,0,0,0,0,
11829,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11833,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11836,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11840,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
11843,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
11847,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
11851,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
11854,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
11858,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11862,373,FALSE,0,8,C5,C5,7F,40,C,BA,80,17,
11866,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11870,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11873,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11877,375,FALSE,0,8,8,8,0,27,E8,0,0,0,
11880,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
11884,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
11887,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
11891,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
11894,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
11898,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11901,373,FALSE,0,8,C5,C5,7F,3F,C,BA,80,17,
11906,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
11910,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
11913,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11917,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11921,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
11924,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11928,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
11932,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
11935,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
11939,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11942,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11947,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
11951,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
11954,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
11958,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
11962,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
11965,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
11969,362,FALSE,0,8,2,1,0,0,0,0,0,0,
11972,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11976,188,FALSE,0,8,2,0,A2,4C,0,0,0,0,
11979,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
11983,287,FALSE,0,8,27,10,27,10,27,10,0,0,
11986,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
11991,371,FALSE,0,8,3B,0,0,0,0,0,0,0,
11994,377,FALSE,0,8,5,BB,0,FC,41,3F,3D,22,
11998,286,FALSE,0,8,0,0,0,39,0,0,A,0,
12001,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12005,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
12008,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
12012,373,FALSE,0,8,C5,C5,7F,40,C,BA,80,17,
12016,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12019,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12023,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12027,6BD,FALSE,0,8,0,0,0,0,0,0,0,0,
12030,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
12034,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12038,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12042,66A,FALSE,0,8,2,55,EC,48,D8,0,0,0,
12045,388,FALSE,0,8,1,0,0,0,0,0,0,2,
12048,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12052,373,FALSE,0,8,C5,C5,7F,40,C,BA,80,17,
12055,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12059,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12062,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12066,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12069,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12073,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12078,375,FALSE,0,8,8,8,0,27,E8,0,0,0,
12081,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12084,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12088,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12092,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
12095,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12099,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12102,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12105,299,FALSE,0,8,39,39,41,3E,3B,0,0,0,
12109,29B,FALSE,0,8,39,39,41,39,3A,A,14,39,
12113,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12116,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12121,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12125,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12129,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
12132,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
12136,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
12139,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12143,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12146,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
12150,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
12154,377,FALSE,0,8,5,BB,1,6,41,3F,3D,22,
12157,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12162,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12166,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12169,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12172,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12176,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12179,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12183,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12187,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12190,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12194,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
12197,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12201,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12206,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12209,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12212,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12216,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12220,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12223,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12227,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12230,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
12234,377,FALSE,0,8,5,BB,1,B,41,3F,3D,22,
12237,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12241,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
12246,388,FALSE,0,8,1,0,0,0,0,0,0,2,
12249,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12252,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12256,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12259,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12262,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12266,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12270,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12274,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12277,375,FALSE,0,8,8,8,0,27,E8,0,0,0,
12280,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12284,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12289,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
12292,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12296,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12300,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12303,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12307,185,FALSE,0,8,8,0,15,0,0,0,0,27,
12310,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12314,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12318,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12321,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12325,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12329,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12333,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
12336,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
12339,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12343,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12347,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
12351,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
12354,377,FALSE,0,8,5,BB,1,6,41,3F,3D,22,
12358,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12361,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12365,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12369,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12372,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12377,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12380,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12383,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12387,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12391,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12394,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12398,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12401,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12405,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
12409,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12412,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12417,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12420,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12424,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12428,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12431,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
12434,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12438,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12442,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
12445,388,FALSE,0,8,1,0,0,0,0,0,0,2,
12449,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12452,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12455,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12460,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12464,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12468,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12471,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12474,377,FALSE,0,8,5,BB,1,6,41,3F,3D,22,
12478,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12482,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12485,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12489,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12492,373,FALSE,0,8,C5,C5,7F,3A,C,BA,80,17,
12496,207,FALSE,0,8,0,0,0,0,0,0,C,0,
12499,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12504,373,FALSE,0,8,C5,C5,7F,3A,C,BA,80,17,
12507,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12511,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12514,377,FALSE,0,8,5,BB,1,6,41,3F,3D,22,
12518,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12522,669,FALSE,0,8,1,39,30,30,0,0,0,0,
12525,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12529,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12532,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
12535,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12539,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12542,373,FALSE,0,8,C5,C5,7F,3A,C,BA,80,17,
12547,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12550,735,FALSE,0,8,39,0,39,0,36,8A,A0,39,
12554,373,FALSE,0,8,C5,C5,7F,3A,C,BA,80,17,
12558,29A,FALSE,0,8,2,35,32,31,FF,FF,FF,FF,
12562,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12565,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12569,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12572,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12576,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12579,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12583,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12588,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12591,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12595,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12598,286,FALSE,0,8,0,0,0,39,0,0,A,0,
12601,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12605,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
12609,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
12612,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12616,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12620,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12624,6FA,FALSE,0,8,1,32,57,48,5A,30,30,32,
12627,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12632,424,FALSE,0,8,4,8F,4,F,92,DA,0,0,
12635,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12639,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
12642,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12646,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12650,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12654,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12657,29A,FALSE,0,8,0,4A,4D,41,58,44,47,47,
12661,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12665,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12668,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
12673,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12677,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12680,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12684,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12688,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12691,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12695,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12698,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12702,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12706,154,FALSE,0,8,66,66,70,66,A,E,74,3C,
12709,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12712,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12717,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12721,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12725,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12728,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
12731,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12735,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12739,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
12743,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12746,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12750,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12753,373,FALSE,0,8,C5,C5,7F,3B,C,BA,80,17,
12758,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
12762,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12766,38A,FALSE,0,8,41,3C,0,0,4,0,0,0,
12769,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12772,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12776,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12779,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12783,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12786,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
12790,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
12793,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12797,286,FALSE,0,8,0,0,0,39,0,0,A,0,
12801,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12805,569,FALSE,0,8,AA,82,A2,2,0,0,0,0,
12808,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12812,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12816,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12819,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12822,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12826,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12830,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12834,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
12837,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
12840,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
12845,563,FALSE,0,8,AA,AA,AA,AA,A2,2A,0,0,
12849,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12852,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12856,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12860,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12863,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12866,566,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12870,56A,FALSE,0,8,22,8A,A,A0,A8,A0,AA,8A,
12874,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12878,375,FALSE,0,8,8,8,0,27,E8,0,0,0,
12881,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12884,5A1,FALSE,0,8,2A,A2,AA,2A,A2,8A,82,A2,
12889,56C,FALSE,0,8,2A,88,2,20,0,0,28,8A,
12893,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12897,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12900,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12904,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12908,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
12911,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
12915,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12918,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
12922,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12926,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12931,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12934,398,FALSE,0,8,1,0,0,4D,52,0,0,0,
12938,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
12941,56F,FALSE,0,8,2A,88,2A,28,0,0,28,8A,
12945,285,FALSE,0,8,0,0,14,21,90,FE,C,10,
12948,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12952,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12956,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
12959,362,FALSE,0,8,2,1,0,0,0,0,0,0,
12962,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12966,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
12971,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
12974,373,FALSE,0,8,C5,C5,7F,3C,C,BA,80,17,
12978,375,FALSE,0,8,8,8,0,27,E7,0,0,0,
12982,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
12985,389,FALSE,0,8,A3,0,0,3C,3C,40,0,0,
12988,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
12992,287,FALSE,0,8,27,10,27,10,27,10,0,0,
12996,377,FALSE,0,8,5,BB,1,1,41,3F,3D,22,
