Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1725172529463896,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529463646,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529463409,000005A3,false,Rx,0,8,0F,00,00,00,C9,7D,2A,62,
-1725172529463173,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529462936,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,25,58,
-1725172529462699,000005D7,false,Rx,0,8,02,24,00,00,00,00,00,00,
-1725172529462462,000005D8,false,Rx,0,8,A0,6E,04,00,00,00,35,0E,
-1725172529457501,00000200,false,Rx,0,8,00,80,D8,04,00,57,D0,00,
-1725172529457257,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529457002,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529447510,00000200,false,Rx,0,8,00,80,D8,04,00,97,D0,00,
-1725172529447266,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529447011,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529437503,00000200,false,Rx,0,8,00,80,D8,04,00,D7,D0,00,
-1725172529437260,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529437005,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529427505,00000200,false,Rx,0,8,00,80,D8,10,00,FF,D0,00,
-1725172529427264,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529427011,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529417503,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529417261,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529417008,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529407516,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529407274,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529407005,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529397512,00000200,false,Rx,0,8,00,80,D8,10,00,BB,D0,00,
-1725172529397269,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529397014,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529387507,00000200,false,Rx,0,8,00,80,D8,10,00,FB,D0,00,
-1725172529387264,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529387009,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529377509,00000200,false,Rx,0,8,00,80,D8,10,00,3B,D0,00,
-1725172529377267,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529377014,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529368060,00000594,false,Rx,0,8,A0,41,A0,41,A2,6A,04,20,
-1725172529367824,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529367574,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529367331,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529367095,000004DE,false,Rx,0,8,00,F1,0A,00,F1,D5,1D,00,
-1725172529366858,000004E2,false,Rx,0,8,00,00,00,00,00,00,D0,9D,
-1725172529366605,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529366367,00000553,false,Rx,0,8,04,00,80,00,00,00,80,00,
-1725172529366126,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529365891,0000057F,false,Rx,0,8,80,0A,72,00,00,00,00,72,
-1725172529365640,00000596,false,Rx,0,8,9D,76,00,00,00,00,0A,0C,
-1725172529365401,000002A1,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529365147,00000597,false,Rx,0,8,89,00,00,00,00,00,00,80,
-1725172529364912,00000200,false,Rx,0,8,00,80,D8,10,00,7B,D0,00,
-1725172529364660,00000598,false,Rx,0,8,00,00,00,00,91,41,F1,12,
-1725172529364439,00000523,false,Rx,0,8,08,38,36,36,33,34,00,01,
-1725172529364187,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529363934,00000524,false,Rx,0,8,00,00,00,00,00,00,00,00,
