Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1688467642040100,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642034551,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642024534,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642014537,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642004492,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641994497,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641984480,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641974468,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641964433,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641955065,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641950072,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641945060,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641940046,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641934450,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641924413,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641914435,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641904408,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641894394,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641884359,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641874365,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641864348,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641855022,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641850027,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641845009,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641839996,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641834346,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641824330,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641814334,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641804285,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641794291,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641784277,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641774262,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641764230,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641754968,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641749974,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641744960,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641739950,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641734244,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641724204,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641714208,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641704202,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641694189,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641684170,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641674161,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641664122,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641654918,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641649924,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641644910,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641639900,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641634118,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641624122,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641614105,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641604078,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641594064,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641584048,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641574035,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641564018,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641554866,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641549881,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641544863,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641539857,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641534017,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641523998,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641514003,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467641503975,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641493959,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641483944,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641473932,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641463918,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641454820,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641449824,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641444813,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641439800,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641433913,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467641423894,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467641413922,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
