Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8105981,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8106192,00000088,false,Rx,0,8,9E,01,01,C1,C5,66,C6,D0,
8106761,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8106777,0000008C,false,Rx,0,8,FC,01,01,51,3A,83,8C,12,
8106921,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8107172,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8107411,00000096,false,Rx,0,8,8E,1E,01,A0,00,00,00,00,
8107655,00000098,false,Rx,0,8,9E,41,00,00,07,E8,03,E8,
8107897,00000013,false,Rx,0,8,B7,F8,00,00,00,00,00,00,
8108141,00000036,false,Rx,0,8,66,36,00,00,00,00,00,00,
8108378,00000011,false,Rx,0,8,CC,E9,0C,C4,00,00,00,00,
8108615,00000050,false,Rx,0,8,EA,04,09,80,00,80,B4,50,
8108860,00000084,false,Rx,0,8,EB,5D,79,00,00,00,00,00,
8109116,000000AA,false,Rx,0,8,18,04,00,FA,3F,FE,3F,FF,
8109325,000000C8,false,Rx,0,8,FB,01,00,00,00,00,7F,FD,
8109587,00000044,false,Rx,0,8,CB,3C,00,85,FF,46,00,00,
8109874,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8110090,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8110329,000000A2,false,Rx,0,8,87,0D,00,00,00,00,24,09,
8110557,000000CA,false,Rx,0,8,66,01,A1,05,A1,80,00,22,
8110874,000000DB,false,Rx,0,8,00,57,00,00,01,A6,00,00,
8111043,000000DD,false,Rx,0,8,00,0A,00,0A,FE,0B,03,E6,
8111294,000000FB,false,Rx,0,8,00,0F,00,00,00,00,00,00,
8111533,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8111766,00000143,false,Rx,0,8,66,0E,01,A1,43,40,01,A6,
8112010,000002DD,false,Rx,0,8,2F,03,FF,40,0F,FC,00,00,
8112671,00000041,false,Rx,0,8,03,07,01,4C,00,00,00,00,
8112916,0000000D,false,Rx,0,8,E6,0F,03,E8,03,E8,00,00,
8113161,00000067,false,Rx,0,8,7D,33,00,00,00,00,00,00,
8115508,000000A3,false,Rx,0,8,5A,0E,00,00,00,00,00,00,
8115753,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8115999,00000110,false,Rx,0,8,00,00,00,01,83,60,02,49,
8117659,00000013,false,Rx,0,8,2A,F9,00,00,00,00,00,00,
8117891,000000AA,false,Rx,0,8,45,05,00,FA,3F,FE,3F,FF,
8118143,000002DD,false,Rx,0,8,E0,04,FF,40,0F,FC,00,00,
8119354,00000092,false,Rx,0,8,00,07,00,00,10,00,28,00,
8119593,00000044,false,Rx,0,8,77,3D,00,EA,FF,46,00,00,
8119873,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8120095,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8120335,000000A2,false,Rx,0,8,A0,0E,00,00,00,00,24,09,
8120581,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8120874,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8121074,000000A8,false,Rx,0,8,61,07,00,00,00,00,00,00,
8121318,00000205,false,Rx,0,8,D0,01,1B,FF,3F,FF,3F,FE,
8121563,00000400,false,Rx,0,8,1E,00,01,01,01,02,01,00,
8122663,00000041,false,Rx,0,8,85,08,01,4C,00,00,00,00,
8122904,0000000D,false,Rx,0,8,9A,00,03,E8,03,E8,00,00,
8123746,00000501,false,Rx,0,8,1E,12,00,00,01,00,00,00,
8125482,000000A3,false,Rx,0,8,47,0F,00,00,00,00,00,00,
8125729,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8125972,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8126206,00000088,false,Rx,0,8,24,03,01,C1,C5,66,C6,D0,
