Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6203388,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
6253411,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
6280894,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6303551,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
6353453,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
6380869,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6404481,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
6455526,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
6480878,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6506235,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
6555590,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
6580886,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6608757,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
6658550,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
6680865,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6708594,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
6758756,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
6780859,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6809648,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
6862777,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
6892194,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
6914777,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
6964834,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
6992200,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7014706,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
7064729,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
7092212,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7114869,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
7164771,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
7192187,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7215799,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
7266844,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
7292196,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7317553,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
7366908,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
7392204,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7420075,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
7469868,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
7492183,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7519912,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
7570074,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
7592177,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7620966,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
7674095,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
7703512,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7726095,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
7776152,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
7803518,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7826024,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
7876047,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
7903530,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
7926187,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
7976089,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
8003505,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8027117,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
8078162,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
8103514,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8128871,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
8178226,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
8203522,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8231393,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
8281186,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
8303501,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8331230,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
8381392,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
8403495,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8432284,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
8485413,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
8514830,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8537413,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
8587470,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
8614836,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8637342,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
8687365,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
8714848,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8737505,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
8787407,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
8814823,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8838435,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
8889480,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
8914832,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
8940189,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
8989544,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
9014840,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9042711,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
9092504,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
9114819,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9142548,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
9192710,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
9214813,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9243602,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
9296731,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
9326148,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9348731,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
9398788,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
9426154,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9448660,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
9498683,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
9526166,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9548823,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
9598725,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
9626141,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9649753,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
9700798,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
9726150,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9751507,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
9800862,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
9826158,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9854029,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
9903822,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
9926137,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
9953866,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
10004028,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
10026131,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10054920,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
10108049,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
10137466,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10160049,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
10210106,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
10237472,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10259978,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
10310001,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
10337484,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10360141,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
10410043,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
10437459,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10461071,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
10512116,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
10537468,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
10562825,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
10612180,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
