CAN speed 1: 500k CAN speed 2: 500k CAN speed 3: 1000k/4000k Id format: HEX | Data format: HEX | Id29 format: 29 
	
>	88	   17:18:39.415:243.00	St	0x3FB	0	6	FF	FF	FF	FF	1F	00	 	 	p:1
>	89	   17:18:39.415:137.00	St	0x41D	0	4	FF	F7	7F	FF	 	 	 	 	p:1
>	90	   17:18:39.419:2537.00	St	0x105	0	8	36	FB	7F	E0	2E	00	FC	0F	p:1
>	91	   17:18:39.420:1711.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	92	   17:18:39.420:235.00	St	0xA5	0	8	1A	F1	FF	FF	FF	00	00	FF	p:1
>	93	   17:18:39.420:540.00	St	0x1FA	0	8	40	49	05	F0	FF	43	FF	FF	p:2
>	94	   17:18:39.423:642.00	St	0x12F	0	8	E8	28	86	1C	F1	31	33	00	p:1
>	95	   17:18:39.423:207.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	96	   17:18:39.423:140.00	St	0x153	0	8	00	00	01	00	00	00	F0	F0	p:1
>	97	   17:18:39.423:79.00	St	0x431	0	8	FE	FF	FF	FF	FF	FF	FF	00	p:2
>	98	   17:18:39.423:201.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	99	   17:18:39.423:108.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	100	   17:18:39.423:262.00	St	0x100	0	8	B9	F5	7F	FF	FF	1D	80	70	p:1
>	101	   17:18:39.423:237.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	102	   17:18:39.423:141.00	St	0x10B	0	3	94	33	FC	 	 	 	 	 	p:1
>	103	   17:18:39.423:175.00	St	0x197	0	4	8F	04	0E	C0	 	 	 	 	p:1
>	104	   17:18:39.423:234.00	St	0x13E	0	8	FF	2E	FA	FA	FA	FA	0F	00	p:1
>	105	   17:18:39.426:2508.00	St	0x3C9	0	8	AC	01	0A	0A	6A	00	F0	39	p:1
>	106	   17:18:39.429:2559.00	St	0x105	0	8	B8	FC	7F	E0	2E	00	FC	0F	p:1
>	107	   17:18:39.429:709.00	St	0x1A1	0	5	B2	CC	00	00	88	 	 	 	p:1
>	108	   17:18:39.429:109.00	St	0x2CA	0	2	74	75	 	 	 	 	 	 	p:1
>	109	   17:18:39.432:1035.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	110	   17:18:39.432:205.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	111	   17:18:39.432:231.00	St	0xA5	0	8	FD	F2	FF	FF	FF	00	00	FF	p:1
>	112	   17:18:39.432:1032.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	113	   17:18:39.432:89.00	St	0x429	0	3	2C	F8	02	 	 	 	 	 	p:1
>	114	   17:18:39.432:175.00	St	0x432	0	8	FC	FF	FF	FF	FF	FF	00	FF	p:2
>	115	   17:18:39.432:88.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	116	   17:18:39.432:107.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	117	   17:18:39.432:236.00	St	0x100	0	8	5E	F6	7F	FF	FF	1D	80	70	p:1
>	118	   17:18:39.432:246.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	119	   17:18:39.435:1403.00	St	0x3E8	0	2	F1	FF	 	 	 	 	 	 	p:1
>	120	   17:18:39.435:263.00	St	0x13E	0	8	FF	2D	FA	FA	FA	FA	0F	00	p:1
>	121	   17:18:39.439:4073.00	St	0x105	0	8	E5	FD	7F	E0	2E	00	FC	0F	p:1
>	122	   17:18:39.440:1639.00	St	0x239	0	8	FF	FF	FF	FF	FF	FF	FF	FF	p:2
>	123	   17:18:39.440:133.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	124	   17:18:39.440:84.00	St	0x2F5	0	8	60	0F	0A	20	20	0A	D4	1E	p:2
>	125	   17:18:39.440:169.00	St	0xA5	0	8	A0	F3	FF	FF	FF	00	00	FF	p:1
>	126	   17:18:39.440:331.00	St	0x40D	0	8	00	00	52	F3	00	00	58	F3	p:2
>	127	   17:18:39.441:762.00	St	0x12F	0	8	92	29	86	1C	F1	31	33	03	p:1
>	128	   17:18:39.441:205.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	129	   17:18:39.441:176.00	St	0x153	0	8	00	00	01	00	00	00	F0	F0	p:1
>	130	   17:18:39.444:151.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	131	   17:18:39.444:262.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	132	   17:18:39.444:210.00	St	0x100	0	8	03	F7	7F	FF	FF	1D	80	70	p:1
>	133	   17:18:39.444:470.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	134	   17:18:39.444:177.00	St	0x10B	0	3	6D	34	FC	 	 	 	 	 	p:1
>	135	   17:18:39.448:5230.00	St	0x105	0	8	02	FE	7F	E0	2E	00	FC	0F	p:1
>	136	   17:18:39.449:671.00	St	0x1A1	0	5	95	CE	00	00	88	 	 	 	p:1
>	137	   17:18:39.452:1061.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	138	   17:18:39.452:238.00	St	0xA5	0	8	2E	F4	FF	FF	FF	00	00	FF	p:1
>	139	   17:18:39.452:237.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	140	   17:18:39.452:1095.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	141	   17:18:39.452:118.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	142	   17:18:39.452:143.00	St	0x3EB	0	8	00	00	54	F3	00	00	5A	F3	p:2
>	143	   17:18:39.452:122.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	144	   17:18:39.452:119.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	145	   17:18:39.452:230.00	St	0x100	0	8	5F	F8	7F	FF	FF	1D	80	70	p:1
>	146	   17:18:39.452:325.00	St	0x197	0	4	00	05	0E	C0	 	 	 	 	p:1
>	147	   17:18:39.456:2111.00	St	0x328	0	6	B0	33	BF	0C	D3	20	 	 	p:1
>	148	   17:18:39.460:3549.00	St	0x105	0	8	03	F0	7F	E0	2E	00	FC	0F	p:1
>	149	   17:18:39.460:1718.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	150	   17:18:39.460:238.00	St	0xA5	0	8	73	F5	FF	FF	FF	00	00	FF	p:1
>	151	   17:18:39.463:1135.00	St	0x12F	0	8	52	2A	86	1C	F1	31	33	00	p:1
>	152	   17:18:39.463:200.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	153	   17:18:39.463:211.00	St	0x153	0	8	00	00	01	00	00	00	F6	F0	p:1
>	154	   17:18:39.463:152.00	St	0x2FF	0	6	FF	FF	FF	FF	FF	FF	 	 	p:2
>	155	   17:18:39.463:172.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	156	   17:18:39.463:40.00	St	0x363	0	8	7D	A8	0D	09	FF	FF	FF	FF	p:2
>	157	   17:18:39.463:87.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	158	   17:18:39.463:173.00	St	0x100	0	8	02	F9	7F	FF	FF	1D	80	70	p:1
>	159	   17:18:39.463:228.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	160	   17:18:39.463:180.00	St	0x10B	0	3	E0	05	FC	 	 	 	 	 	p:1
>	161	   17:18:39.463:202.00	St	0x2E2	0	8	F7	6F	09	B0	07	51	FF	00	p:1
>	162	   17:18:39.463:271.00	St	0x3EC	0	8	19	02	00	00	30	08	0F	FC	p:1
>	163	   17:18:39.466:2349.00	St	0x3FC	0	3	C1	F9	0F	 	 	 	 	 	p:1
>	164	   17:18:39.469:2623.00	St	0x105	0	8	5E	F1	7F	E0	2E	00	FC	0F	p:1
>	165	   17:18:39.469:792.00	St	0x1A1	0	5	FD	C1	00	00	88	 	 	 	p:1
>	166	   17:18:39.472:1016.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	167	   17:18:39.472:229.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	168	   17:18:39.472:234.00	St	0xA5	0	8	94	F6	FF	FF	FF	00	00	FF	p:1
>	169	   17:18:39.472:1169.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	170	   17:18:39.472:85.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	171	   17:18:39.472:144.00	St	0x431	0	8	F6	FF	FF	FF	FF	FF	FF	4B	p:2
>	172	   17:18:39.472:84.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	173	   17:18:39.472:144.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	174	   17:18:39.472:84.00	St	0x1FA	0	8	41	49	45	F0	FF	43	FF	FF	p:2
>	175	   17:18:39.472:175.00	St	0x100	0	8	E5	FA	7F	FF	FF	1D	80	70	p:1
>	176	   17:18:39.475:3179.00	St	0x512	0	8	00	00	00	00	00	00	00	12	p:1
>	177	   17:18:39.478:1472.00	St	0x515	0	8	00	00	00	00	00	00	00	15	p:1
>	178	   17:18:39.478:1223.00	St	0x105	0	8	B9	F2	7F	E0	2E	00	FC	0F	p:1
>	179	   17:18:39.481:1129.00	St	0x326	0	8	00	00	00	00	00	00	00	00	p:1
>	180	   17:18:39.481:607.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	181	   17:18:39.481:237.00	St	0xA5	0	8	C9	F7	FF	FF	FF	00	00	FF	p:1
>	182	   17:18:39.481:1315.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	183	   17:18:39.481:84.00	St	0x429	0	3	2C	F8	00	 	 	 	 	 	p:1
>	184	   17:18:39.484:176.00	St	0x2BD	0	8	DE	01	F0	FF	FF	FF	FF	FF	p:2
>	185	   17:18:39.484:116.00	St	0x108	0	8	00	7D	FF	FF	07	F1	FF	FF	p:1
>	186	   17:18:39.484:116.00	St	0x2F5	0	8	60	0F	0A	20	20	0A	D4	1E	p:2
>	187	   17:18:39.484:84.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	188	   17:18:39.484:147.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	189	   17:18:39.484:77.00	St	0x432	0	8	8C	EA	10	C8	6C	FF	00	FF	p:2
>	190	   17:18:39.484:147.00	St	0x100	0	8	B8	FB	7F	FF	FF	1D	80	70	p:1
>	191	   17:18:39.484:229.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	192	   17:18:39.484:307.00	St	0x153	0	8	00	00	01	00	00	00	F6	F0	p:1
>	193	   17:18:39.484:74.00	St	0x10B	0	3	34	06	FC	 	 	 	 	 	p:1
>	194	   17:18:39.484:409.00	St	0x197	0	4	8C	06	0E	C0	 	 	 	 	p:1
>	195	   17:18:39.484:271.00	St	0x2B7	0	8	18	00	00	40	00	00	00	00	p:1
>	196	   17:18:39.484:237.00	St	0x2E8	0	8	C0	E8	C3	FF	FF	F0	F2	1E	p:1
>	197	   17:18:39.484:207.00	St	0x3FD	0	5	93	02	00	00	FF	 	 	 	p:1
>	198	   17:18:39.490:4032.00	St	0x105	0	8	E4	F3	7F	E0	2E	00	FC	0F	p:1
>	199	   17:18:39.490:666.00	St	0x1A1	0	5	DA	C3	00	00	88	 	 	 	p:1
>	200	   17:18:39.490:456.00	St	0x150	0	8	21	00	00	00	00	FF	07	00	p:1
>	201	   17:18:39.490:637.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	202	   17:18:39.490:244.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	203	   17:18:39.490:235.00	St	0xA5	0	8	95	F8	FF	FF	FF	00	00	FF	p:1
>	204	   17:18:39.491:1074.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	205	   17:18:39.491:107.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	206	   17:18:39.494:113.00	St	0x40D	0	8	00	00	52	F3	00	00	58	F3	p:2
>	207	   17:18:39.494:160.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	208	   17:18:39.494:128.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	209	   17:18:39.494:256.00	St	0x100	0	8	36	FC	7F	FF	FF	1D	80	70	p:1
>	210	   17:18:39.498:5917.00	St	0x105	0	8	6A	F4	7F	E0	2E	00	FC	0F	p:1
>	211	   17:18:39.501:1130.00	St	0x150	0	8	21	00	00	00	00	FF	07	00	p:1
>	212	   17:18:39.501:540.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	213	   17:18:39.501:270.00	St	0xA5	0	8	C8	F9	FF	FF	FF	00	00	FF	p:1
>	214	   17:18:39.501:1372.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	215	   17:18:39.502:136.00	St	0x153	0	8	00	00	01	00	00	00	F6	F0	p:1
>	216	   17:18:39.502:302.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	217	   17:18:39.502:128.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	218	   17:18:39.502:228.00	St	0x100	0	8	6B	FD	7F	FF	FF	1D	80	70	p:1
>	219	   17:18:39.503:476.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	220	   17:18:39.503:140.00	St	0x10B	0	3	78	07	FC	 	 	 	 	 	p:1
>	221	   17:18:39.505:1075.00	St	0x59A	0	8	65	03	FF	00	00	00	FF	04	p:1
>	222	   17:18:39.509:4198.00	St	0x105	0	8	37	F5	7F	E0	2E	00	FC	0F	p:1
>	223	   17:18:39.509:700.00	St	0x1A1	0	5	B3	C5	00	00	88	 	 	 	p:1
>	224	   17:18:39.509:388.00	St	0x211	0	7	00	FF	FF	30	00	00	00	 	p:1
>	225	   17:18:39.509:263.00	St	0x150	0	8	21	00	00	00	00	FF	07	00	p:1
>	226	   17:18:39.510:342.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	227	   17:18:39.510:246.00	St	0x2E3	0	8	A3	01	0F	00	FF	FF	FF	FF	p:1
>	228	   17:18:39.510:227.00	St	0xA5	0	8	2F	FA	FF	FF	FF	00	00	FF	p:1
>	229	   17:18:39.510:237.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	230	   17:18:39.511:269.00	St	0x2B3	0	8	00	08	08	00	0F	E0	7F	00	p:1
>	231	   17:18:39.511:244.00	St	0x51A	0	8	00	00	00	00	50	00	00	1A	p:1
>	232	   17:18:39.511:390.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	233	   17:18:39.511:142.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	234	   17:18:39.514:238.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	235	   17:18:39.514:130.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	236	   17:18:39.514:262.00	St	0x100	0	8	8C	FE	7F	FF	FF	1D	80	70	p:1
>	237	   17:18:39.514:412.00	St	0x197	0	4	03	07	0E	C0	 	 	 	 	p:1
>	238	   17:18:39.514:232.00	St	0x3EC	0	8	E1	03	00	00	60	10	0F	FC	p:1
>	239	   17:18:39.517:2383.00	St	0x418	0	8	FF	3C	FF	00	C0	0F	FF	FF	p:1
>	240	   17:18:39.517:246.00	St	0x3C9	0	8	AC	01	0A	0A	6A	00	F0	39	p:1
>	241	   17:18:39.520:2655.00	St	0x105	0	8	D0	F6	7F	E0	2E	00	FC	0F	p:1
>	242	   17:18:39.520:1128.00	St	0x150	0	8	21	00	00	00	00	FF	07	00	p:1
>	243	   17:18:39.520:606.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	244	   17:18:39.520:241.00	St	0xA5	0	8	72	FB	FF	FF	FF	00	00	FF	p:1
>	245	   17:18:39.521:1347.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	246	   17:18:39.521:136.00	St	0x153	0	8	00	00	01	00	00	00	F6	F0	p:1
>	247	   17:18:39.522:244.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	248	   17:18:39.522:188.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	249	   17:18:39.522:227.00	St	0x100	0	8	8D	F0	7F	FF	FF	1D	80	70	p:1
>	250	   17:18:39.525:476.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	251	   17:18:39.525:150.00	St	0x10B	0	3	DB	08	FC	 	 	 	 	 	p:1
>	252	   17:18:39.528:5230.00	St	0x105	0	8	8D	F7	7F	E0	2E	00	FC	0F	p:1
>	253	   17:18:39.531:738.00	St	0x1A1	0	5	94	C7	00	00	88	 	 	 	p:1
>	254	   17:18:39.531:386.00	St	0x1AA	0	8	AC	0D	40	06	05	8C	F0	FF	p:1
>	255	   17:18:39.531:271.00	St	0x150	0	8	21	00	00	00	00	FF	07	00	p:1
>	256	   17:18:39.531:421.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	257	   17:18:39.531:198.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	258	   17:18:39.531:268.00	St	0xA5	0	8	FC	FC	FF	FF	FF	00	00	FF	p:1
>	259	   17:18:39.531:1071.00	St	0x429	0	3	2C	F8	00	 	 	 	 	 	p:1
>	260	   17:18:39.531:44.00	St	0x112	0	8	FF	FF	FF	FF	B6	71	05	FF	p:2
>	261	   17:18:39.532:210.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
