Time Stamp,ID,Extended,Bus,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2124591,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124594,112,0,1,8,ff,ff,ff,ff,ff,7f,f5,ff
2124594,432,0,1,8,fc,ff,ff,ff,ff,ff,0,ff
2124594,297,0,1,7,33,e0,f3,f2,f2,92,ea,0
2124595,1.00E+01,0,1,6,b5,f1,0,ff,ff,ff,0,0
2124596,0ef,0,1,8,4c,f5,0,7d,21,0,7d,ff
2124596,100,0,1,8,0b,f9,7f,ff,ff,13,80,70
2124596,1a1,0,1,5,2f,cd,0,0,88,0,0,0
2124598,206,0,1,8,7f,23,42,ff,ff,ff,ff,ff
2124599,0c3,0,1,8,ed,79,0,0,0,7d,ff,ff
2124600,314,0,1,3,f1,2,ff,0,0,0,0,0
2124601,197,0,1,4,0,5,0e,c0,0,0,0,0
2124602,239,0,1,8,ff,ff,ff,ff,ff,8d,ff,ff
2124602,2f5,0,1,8,60,0f,0a,20,20,0a,d4,1e
2124603,36e,0,1,5,45,f1,6,3,14,0,0,0
2124604,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124605,12f,0,1,8,1,27,86,1a,f1,31,30,0
2124605,0a5,0,1,8,3a,f6,ff,f7,7f,0,0,c1
2124605,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124605,0d9,0,1,8,9e,f6,0,10,0,f0,7f,c8
2124606,0f3,0,1,8,58,6,0,ff,f0,c0,ff,ff
2124606,100,0,1,8,ec,fa,7f,ff,ff,13,80,70
2124606,163,0,1,8,ff,ff,0,85,ff,ff,ff,ff
2124606,15f,0,1,8,91,f6,0,7d,0,ee,0,7d
2124607,173,0,1,8,1a,fa,0,0e,e0,0,de,0
2124607,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124607,258,0,1,2,44,44,0,0,0,0,0,0
2124608,0c3,0,1,8,0a,7a,0,0,0,7d,ff,ff
2124611,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124611,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124611,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124613,2bb,0,1,5,f3,f0,0,0,f2,0,0,0
2124614,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124615,100,0,1,8,b1,fb,7f,ff,ff,13,80,70
2124616,0ef,0,1,8,ab,f6,0,7d,21,0,7d,ff
2124616,0a9,0,1,8,60,77,0,90,f1,0,0,ff
2124616,1a1,0,1,5,60,c0,0,0,88,0,0,0
2124618,2.00E+08,0,1,8,c0,ee,c3,ff,ff,f0,f2,97
2124618,3fd,0,1,5,93,2,0,0,ff,0,0,0
2124619,108,0,1,8,0,7d,ff,ff,7,f1,ff,ff
2124619,0c3,0,1,8,57,7b,0,0,0,7d,ff,ff
2124619,212,0,1,8,d6,f2,f8,ff,ff,ff,ff,ff
2124619,2db,0,1,8,ff,ff,ff,ff,bf,ff,ff,ff
2124620,2f1,0,1,8,a2,0f,0,0,0,0,0,a0
2124624,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124624,363,0,1,8,eb,b2,94,9,ff,ff,ff,ff
2124625,51d,0,1,8,0,0,0,0,0,0,0,1d
2124625,0a5,0,1,8,67,f7,ff,f7,7f,0,0,c1
2124625,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124625,0d9,0,1,8,c3,f7,0,10,0,f0,7f,c8
2124626,0f3,0,1,8,5,7,0,ff,f0,c0,ff,ff
2124626,100,0,1,8,3f,fc,7f,ff,ff,13,80,70
2124626,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124626,15f,0,1,8,cc,f7,0,7d,0,ee,0,7d
2124626,258,0,1,2,44,44,0,0,0,0,0,0
2124627,2a1,0,1,5,0,58,2,0,f0,0,0,0
2124627,302,0,1,7,ff,ff,ff,7f,f8,ff,ff,0
2124627,212,0,1,8,cd,f3,f9,ff,ff,ff,ff,ff
2124628,0c3,0,1,8,d9,7c,0,0,0,7d,ff,ff
2124630,3f9,0,1,8,10,f3,80,c0,36,31,c0,ff
2124631,1b9,0,1,5,ff,ff,ff,14,ff,0,0,0
2124631,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124631,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124631,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124631,197,0,1,4,8c,6,0e,c0,0,0,0,0
2124634,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124634,356,0,1,8,4c,c0,4,ff,ff,ff,ff,ff
2124634,431,0,1,8,f6,ff,ff,ff,ff,ff,ff,4b
2124634,1fa,0,1,8,41,49,45,f0,ff,38,ff,ff
2124635,100,0,1,8,62,fd,7f,ff,ff,13,80,70
2124636,0ef,0,1,8,f6,f7,0,7d,21,0,7d,ff
2124636,1a1,0,1,5,47,c2,0,0,88,0,0,0
2124638,206,0,1,8,f1,24,42,ff,ff,ff,ff,ff
2124639,0c3,0,1,8,f9,7d,0,e0,0,7d,ff,ff
2124639,2ca,0,1,2,5e,5e,0,0,0,0,0,0
2124643,2a7,0,1,5,12,f1,fe,ff,14,0,0,0
2124643,51a,0,1,8,0,0,0,0,50,0,0,1a
2124644,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124644,2f5,0,1,8,60,0f,0a,20,20,0a,d4,1e
2124645,432,0,1,8,8c,f4,10,c8,c8,ff,0,ff
2124645,0a5,0,1,8,3b,f8,ff,f7,7f,0,0,c1
2124645,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124645,0d9,0,1,8,9f,f8,0,10,0,f0,7f,c8
2124646,0f3,0,1,8,59,8,0,ff,f0,c0,ff,ff
2124646,100,0,1,8,85,fe,7f,ff,ff,13,80,70
2124646,15f,0,1,8,90,f8,0,7d,0,ee,0,7d
2124646,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124646,258,0,1,2,44,44,0,0,0,0,0,0
2124647,2b0,0,1,6,31,3c,0,c5,ff,ff,0,0
2124647,3d8,0,1,8,7,ff,ff,ff,ff,ff,ff,ff
2124648,0c3,0,1,8,1e,7e,0,e0,0,7d,ff,ff
2124650,2.00E+07,0,1,8,d4,c1,7,ff,5f,ff,0,0
2124650,2a6,0,1,2,0,84,0,0,0,0,0,0
2124650,3ac,0,1,2,fe,cf,0,0,0,0,0,0
2124651,2fc,0,1,8,84,0,0,ff,ff,ff,ff,ff
2124651,3be,0,1,3,0d,f0,0,0,0,0,0,0
2124651,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124651,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124651,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124654,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124654,1ae,0,1,2,fb,ff,0,0,0,0,0,0
2124656,0ef,0,1,8,aa,f8,0,7d,21,0,7d,ff
2124656,100,0,1,8,84,f0,7f,ff,ff,13,80,70
2124656,1a1,0,1,5,2e,c4,0,0,88,0,0,0
2124657,323,0,1,2,f0,ff,0,0,0,0,0,0
2124657,59a,0,1,8,65,3,ff,0,0,0,ff,4
2124657,59a,0,1,8,65,3,ff,0,0,0,ff,4
2124658,0c3,0,1,8,1f,70,0,e0,0,7d,ff,ff
2124659,2fa,0,1,8,fd,ff,1,ff,ff,ff,ff,ff
2124661,197,0,1,4,3,7,0e,c0,0,0,0,0
2124664,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124665,0a5,0,1,8,66,f9,ff,f7,7f,0,0,c1
2124665,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124665,0d9,0,1,8,c2,f9,0,10,0,f0,7f,c8
2124666,0f3,0,1,8,4,9,0,ff,f0,c0,ff,ff
2124666,100,0,1,8,d9,f1,7f,ff,ff,13,80,70
2124666,15f,0,1,8,cd,f9,0,7d,0,ee,0,7d
2124666,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124666,258,0,1,2,44,44,0,0,0,0,0,0
2124667,302,0,1,7,ff,ff,ff,7f,f8,ff,ff,0
2124668,0c3,0,1,8,42,71,0,e0,0,7d,ff,ff
2124670,59d,0,1,8,8,0f,0,2,0,0,0,0
2124670,340,0,1,2,fc,ff,0,0,0,0,0,0
2124670,389,0,1,2,ff,f0,0,0,0,0,0,0
2124671,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124671,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124671,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124674,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124674,2c5,0,1,7,1f,f2,0,30,6,70,c8,0
2124674,2f8,0,1,8,0f,25,18,11,c7,e7,7,f5
2124674,330,0,1,8,89,ae,1,0,0,0,cd,4
2124675,100,0,1,8,3e,f2,7f,ff,ff,13,80,70
2124676,0ef,0,1,8,f7,f9,0,7d,21,0,7d,ff
2124676,1a1,0,1,5,9,c6,0,0,88,0,0,0
2124678,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2124678,206,0,1,8,ac,25,42,ff,ff,ff,ff,ff
2124679,0c3,0,1,8,a5,72,0,e0,0,7d,ff,ff
2124684,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124684,36f,0,1,5,d8,f2,38,0,15,0,0,0
2124684,7bd,0,1,8,0,0,0,c0,ff,40,1,1
2124684,7be,0,1,8,0c,1,0c,16,0,0,0,0
2124685,2c4,0,1,8,0,0,ff,0,c8,64,ff,cf
2124685,0a5,0,1,8,81,fa,ff,f7,7f,0,0,c1
2124685,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124686,0d9,0,1,8,25,fa,0,10,0,f0,7f,c8
2124686,0f3,0,1,8,e3,0a,0,ff,f0,c0,ff,ff
2124686,100,0,1,8,68,f3,7f,c0,5d,13,80,70
2124686,15f,0,1,8,2a,fa,0,7d,0,ee,0,7d
2124687,254,0,1,8,ff,7f,ff,7f,ff,7f,ff,7f
2124687,258,0,1,2,44,44,0,0,0,0,0,0
2124687,304,0,1,6,ff,ff,1,33,ff,ff,0,0
2124688,0c3,0,1,8,f8,73,0,e0,0,7d,ff,ff
2124690,200,0,1,8,0a,1,78,0,0,0a,fa,ff
2124690,540,0,1,8,0,0,0,0,0c,30,ff,40
2124691,199,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124691,19a,0,1,6,ff,ff,f3,7e,ff,8f,0,0
2124691,19f,0,1,6,ff,ff,0,80,ff,8f,0,0
2124691,197,0,1,4,85,8,0e,c0,0,0,0,0
2124694,112,0,1,8,ff,ff,ff,ff,2,73,75,ff
2124695,3a5,0,1,5,e1,d5,ff,ff,ff,0,0,0
2124696,100,0,1,8,e6,f4,7f,c0,5d,13,80,70
2124696,0ef,0,1,8,10,fa,0,7d,21,0,7d,ff
2124696,1a1,0,1,5,fc,c8,0,0,88,0,0,0
2124697,272,0,1,8,45,f4,0,12,ff,ff,ff,ff
2124698,0c3,0,1,8,76,74,0,e0,0,7d,ff,ff
2124700,242,0,1,5,d1,f3,ff,ff,ff,0,0,0
2124701,2.00E+06,0,1,8,0,38,64,32,1f,0,1f,26
2124702,431,0,1,8,f6,ff,ff,ff,ff,4e,f4,4b
2124702,239,0,1,8,ff,6b,3d,10,0,8d,ff,ff
2124703,432,0,1,8,5c,f4,10,a6,c8,ff,0,ff
2124704,112,0,1,8,0,20,ff,ff,2,73,75,ff
2124705,12f,0,1,8,5d,28,86,1a,f1,31,30,0
2124705,0a5,0,1,8,dc,fb,ff,f7,7f,0,0,c1
2124705,0d9,0,1,8,78,fb,0,10,0,f0,7f,c8
2124705,0ac,0,1,2,0,f0,0,0,0,0,0,0
2124706,0f3,0,1,8,be,0b,0,ff,f0,c0,ff,ff
2124706,100,0,1,8,bb,f5,7f,c0,5d,13,80,70
2124706,163,0,1,8,ff,ff,0,85,ff,ff,ff,ff
